term,estimate,std.error,statistic,df,p.value,2.50%,97.50%
(Intercept),0.988,0.043,23.193,1415.391,0.000,0.905,1.072
Relationships,-0.030,0.016,-1.889,115.544,0.061,-0.062,0.001
Intrinsic_Motivation,0.102,0.016,6.467,125.448,0.000,0.071,0.133
Feedback,-0.004,0.018,-0.220,94.903,0.826,-0.040,0.032
Alignment,0.094,0.020,4.690,74.793,0.000,0.054,0.134
Wellbeing,0.131,0.022,5.953,52.259,0.000,0.087,0.175
Rewards,0.062,0.012,5.015,84.542,0.000,0.037,0.086
tenure_yrs,0.000,0.001,0.055,256.653,0.956,-0.002,0.002
