"","companyId","mean_company_effect","sd_company_effect"
"1","56aec740f1ef260003e307d6",0.804791572068729,0.11784571607735
"2","56fd2b64f41c670003f643c8",-0.544589549070263,0.0390539883483101
"3","57908a2622881200033b34d7",1.75303375206411,0.145329921095288
"4","57c4aa7dbb8b5c000396fd3b",1.471877563182,0.109240031954906
"5","594980450af0930004ad2e31",0.0523834264913941,0.0819413646768571
"6","59e5e76eda4f2100041a722c",0.174076134084612,0.0951025513625094
"7","5a5c65acda7ea50004af7996",0.972790876114758,0.0401449242413478
"8","5a8c1d3da359580004047bcb",1.86844761478492,0.0939558777842718
"9","5ad7d22a40bbc80004b73727",0.736140039675576,0.0766696001492485
"10","5b3ddd08ce75e500040f8c76",0.376412802759045,0.0371216500088755
"11","5b585becd71b4e00040957b5",0.869971361570798,0.152791929263072
"12","5bae1564a8ab700004154b71",2.02587407646357,0.0929055206129695
"13","5c580520df2ab900049d6fd5",-1.25285509981213,0.0805558493946668
"14","5ddfa86a4695250004421c19",1.56707430422024,0.0985885887025876
"15","5df770f660090f0004465e5c",0.429180866722169,0.0506470823399011
"16","5e25c0b701b5a500041fd0d5",-0.32161193786627,0.0391688225204053
"17","5e3031c5dae0760004d8fbe6",0.762289649493637,0.0531790864041419
"18","5e625e52b5b3050004e1b1f8",2.43149878605624,0.0883239912960663
"19","5e71f0b8c77e54000410fdb4",-1.29138235376655,0.0646445169934639
"20","5e9d90ef6eb137000458e590",0.871849989181171,0.0646542233343844
"21","5eb4214cd3dbc80004edf64a",0.270265842928734,0.0763954750682099
"22","5f0db44c900e790004bcd2aa",0.196884548773696,0.0777208416526801
"23","5f462d30a0705f0004c00134",-0.736355685964442,0.0482403337307795
"24","5f4798584672f900046c1329",0.896426736082499,0.117089281511508
"25","5f58e8fb7da0e200048fbdc9",0.240186587517039,0.0767131774100177
"26","5f60e1c51f5cb400047183e0",0.984365859562478,0.0558775794195582
"27","5fa42262d410b00004aff18d",-1.40324602156995,0.0683424759562294
"28","5faee32997df24000430d586",0.17656337212221,0.0652403258527295
"29","60016a409c3bd50004c6e702",-0.550311437772281,0.0503867042086904
"30","60170ab8d551880004298ef3",-1.56426721251025,0.0467550213770173
"31","601cee6eba29380004399fcc",0.976192409234523,0.119118607889156
"32","601d1037ba2938000439a386",-3.19110866417756,0.105569574159018
"33","602e81c1d3548400031f48a6",-1.52576046767935,0.0475207525218816
"34","60637610e1502d0003939503",-1.57448512404292,0.0577812569091273
"35","60770c99f17ad90003452a13",0.773298517936875,0.0988579574411304
"36","609d291fae3d1e08862eb4cd",-1.43837440475723,0.0664669487119234
"37","60b78b93ef172442a7d0a859",-1.79432010814585,0.0813012154649888
"38","6101220e42e92f2213502851",-0.844452130572665,0.0848368496224951
